Info 0    [20:32:11.437] Starting TS Server
Info 92   [20:35:28.894] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 5ms
Info 93   [20:35:28.894] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 94   [20:35:29.191] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 95   [20:35:29.196] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 5ms
Info 96   [20:35:29.196] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 97   [20:35:29.680] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 98   [20:35:29.685] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 5ms
Info 99   [20:35:29.685] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 100  [20:35:29.854] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 101  [20:35:29.862] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 8ms
Info 102  [20:35:29.862] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 103  [20:35:29.954] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 104  [20:35:29.957] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 3ms
Info 105  [20:35:29.957] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 106  [20:35:30.9] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 107  [20:35:30.13] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 4ms
Info 108  [20:35:30.13] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 109  [20:35:30.184] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 110  [20:35:30.187] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 3ms
Info 111  [20:35:30.188] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 112  [20:35:30.245] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 113  [20:35:30.251] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 5ms
Info 114  [20:35:30.251] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 115  [20:35:30.368] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 116  [20:35:30.373] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 5ms
Info 117  [20:35:30.373] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 118  [20:35:30.461] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 119  [20:35:30.464] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false Elapsed: 3ms
Info 120  [20:35:30.464] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 121  [20:35:30.603] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 122  [20:35:30.607] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false Elapsed: 4ms
Info 123  [20:35:30.607] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 124  [20:39:53.888] DirectoryWatcher:: Triggered with c:/users/jules/code/dropshift/node_modules/.yarn-integrity :: WatchInfo: c:/users/jules/code/dropshift/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 125  [20:39:53.888] Elapsed:: 0ms DirectoryWatcher:: Triggered with c:/users/jules/code/dropshift/node_modules/.yarn-integrity :: WatchInfo: c:/users/jules/code/dropshift/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 126  [20:39:53.888] DirectoryWatcher:: Triggered with c:/Users/Jules/Code/dropshift/node_modules/.yarn-integrity :: WatchInfo: c:/Users/Jules/Code/dropshift/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 127  [20:39:53.888] Elapsed:: 0ms DirectoryWatcher:: Triggered with c:/Users/Jules/Code/dropshift/node_modules/.yarn-integrity :: WatchInfo: c:/Users/Jules/Code/dropshift/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 128  [20:39:54.374] DirectoryWatcher:: Triggered with c:/users/jules/code/dropshift/node_modules/yallist :: WatchInfo: c:/users/jules/code/dropshift/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 129  [20:39:54.374] Elapsed:: 0ms DirectoryWatcher:: Triggered with c:/users/jules/code/dropshift/node_modules/yallist :: WatchInfo: c:/users/jules/code/dropshift/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 130  [20:39:54.375] DirectoryWatcher:: Triggered with c:/Users/Jules/Code/dropshift/node_modules/yallist :: WatchInfo: c:/Users/Jules/Code/dropshift/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 131  [20:39:54.388] Elapsed:: 13ms DirectoryWatcher:: Triggered with c:/Users/Jules/Code/dropshift/node_modules/yallist :: WatchInfo: c:/Users/Jules/Code/dropshift/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 132  [20:39:56.679] DirectoryWatcher:: Triggered with c:/users/jules/code/dropshift/node_modules/yallist/LICENSE :: WatchInfo: c:/users/jules/code/dropshift/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 133  [20:39:56.680] Elapsed:: 0ms DirectoryWatcher:: Triggered with c:/users/jules/code/dropshift/node_modules/yallist/LICENSE :: WatchInfo: c:/users/jules/code/dropshift/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 134  [20:39:56.680] DirectoryWatcher:: Triggered with c:/Users/Jules/Code/dropshift/node_modules/yallist/LICENSE :: WatchInfo: c:/Users/Jules/Code/dropshift/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 135  [20:39:56.680] Elapsed:: 0ms DirectoryWatcher:: Triggered with c:/Users/Jules/Code/dropshift/node_modules/yallist/LICENSE :: WatchInfo: c:/Users/Jules/Code/dropshift/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 136  [20:39:56.681] DirectoryWatcher:: Triggered with c:/users/jules/code/dropshift/node_modules/yallist/README.md :: WatchInfo: c:/users/jules/code/dropshift/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 137  [20:39:56.681] Elapsed:: 0ms DirectoryWatcher:: Triggered with c:/users/jules/code/dropshift/node_modules/yallist/README.md :: WatchInfo: c:/users/jules/code/dropshift/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 138  [20:39:56.682] DirectoryWatcher:: Triggered with c:/users/jules/code/dropshift/node_modules/yallist/iterator.js :: WatchInfo: c:/users/jules/code/dropshift/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 139  [20:39:56.682] Elapsed:: 0ms DirectoryWatcher:: Triggered with c:/users/jules/code/dropshift/node_modules/yallist/iterator.js :: WatchInfo: c:/users/jules/code/dropshift/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 140  [20:39:56.682] DirectoryWatcher:: Triggered with c:/users/jules/code/dropshift/node_modules/yallist/yallist.js :: WatchInfo: c:/users/jules/code/dropshift/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 141  [20:39:56.682] Elapsed:: 0ms DirectoryWatcher:: Triggered with c:/users/jules/code/dropshift/node_modules/yallist/yallist.js :: WatchInfo: c:/users/jules/code/dropshift/node_modules 1 Project:  WatchType: node_modules for closed script infos in them
Info 142  [20:39:56.684] DirectoryWatcher:: Triggered with c:/Users/Jules/Code/dropshift/node_modules/yallist/README.md :: WatchInfo: c:/Users/Jules/Code/dropshift/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 143  [20:39:56.684] Elapsed:: 0ms DirectoryWatcher:: Triggered with c:/Users/Jules/Code/dropshift/node_modules/yallist/README.md :: WatchInfo: c:/Users/Jules/Code/dropshift/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 144  [20:39:56.684] DirectoryWatcher:: Triggered with c:/Users/Jules/Code/dropshift/node_modules/yallist/iterator.js :: WatchInfo: c:/Users/Jules/Code/dropshift/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 145  [20:39:56.693] Elapsed:: 9ms DirectoryWatcher:: Triggered with c:/Users/Jules/Code/dropshift/node_modules/yallist/iterator.js :: WatchInfo: c:/Users/Jules/Code/dropshift/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 146  [20:39:56.694] DirectoryWatcher:: Triggered with c:/Users/Jules/Code/dropshift/node_modules/yallist/yallist.js :: WatchInfo: c:/Users/Jules/Code/dropshift/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 147  [20:39:56.704] Elapsed:: 10ms DirectoryWatcher:: Triggered with c:/Users/Jules/Code/dropshift/node_modules/yallist/yallist.js :: WatchInfo: c:/Users/Jules/Code/dropshift/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
